1	1	a	watch it. Now you're using my lines. Poet has always been an easy target, I will agree. ;)
2	1	a	Because it will encourage teens to engage in riskier behavior. Abstinence until marriage is still the best way.
3	1	a	Obviously you missed the point. So sorry the the irony was beyond you.
4	1	a	This is pure paranoia. What evidence do you have to support you're point of view? Why don't you actually do a little research yourself. Handgun Control Inc was founded by two victims of gun-violence. Sarah Brady joined Handgun Control Inc after her husband received brain damage from a bullet. Senator Ted Kennedy also supports gun-control because some of his family members were killed with guns. Many people who support gun control have experienced the horrors of gun violence firsthand and are just trying to make our nation a safer place. It's not because they are power hungry.
5	1	a	And I would appreiciate your refraining from calling the Bible mythology.
6	1	a	Jake, while I don't agree with JP that this should be an issue of blame, with all due respect, your point here is a bit disingenuous--smallpox isn't easily spread by engaging in a given behavior as HIV is--HIV is a sexually transmitted disease.
7	1	a	That wasn't meant as an insult tq, it was said in the hope that it would reach you where you live.
8	1	a	"And what exactly is a ""God-fearing athiest"" anyway?"
9	1	a	You mean what you got was an eye opening shocker into the world of leftist propaganda, and I can see that like a good sheeple you swallowed it hook line and sinker.
10	1	a	marriage has other important functions? like what? i'm not going by what anyone has told me, i'm going by what i see: men typically marry for steady *****, women typically marry because they want kids (eventually counts) or they want someone else to come home to and don't mind the side effect of kids.
11	1	a	The statement was made based upon historical evidence. Practices such as loyalty oaths and fire safety ordinances were common place in colonial times and could be regarded as restrictions on the bearing of arms for effective self defense. The supreme court never determined that these were unacceptable restrictions or infringements.
12	1	a	Do you believe in evolution? I mean i understand if you do but I would like to make some points about it.....there are also some points procing creation.
13	1	a	You haven't provided any evidence the Bible is a fairy tale. But I do think you like the sound of those last two words in the previous sentence.It's God or the government (Romans 13) in the NT who dispense capital punishment. If you weren't so consumed with your illicit gay sex escapades to read the NT you would have known that.Keep screwing around and God himself just might take you and/or your buddy Jazy off the earth like he did with Annanias Sapphira in the Book of Acts.
14	1	a	whatever 'rubber' was being exported probably ceased to be exported because of ravages of war during and after.Did you see any spike in the price of tyres, sorry 'tires' in the good old USA because of the Vietnam war ?natural rubber by the way is used mostly in big huge tyres not the size used in automobiles.Iraq was invaded to satisfy greed and ideology. American oil companies are still trying to get a preferential deal in their dealing with the Iraqi government.Now, what are the gringos and their lackeys (UK, NATO members et al) doing in Afghanistan, which has no oil, and no rubber? Are the gringos trying to protect and control the supply of heroin ? Myabe Saddam hid his WMDs (Weapons of Mass Delusion) in Kabul or nearby?
15	1	a	The propaganda ministers must be working overtime to hit as many forums as possible. emoticonXRolleyes
16	1	a	Like you say, it depends on how you define best...furthermore, a destruction caused by limiting freedom takes some time. These countries haven't been around that long remember (in terms of the type of government).
17	1	a	"What are ""women's rights""? They special too? Now think ""women's rights"" but pretend you really don't like women, assuming you need to pretend.Same thing."
18	1	a	Joe lets face it, anyone that disagrees with you on gay marriage is bigoted or a homophobe.........No one can have a different opinion..That is sad.......
19	1	a	lol.. Considering where the Dow was before Obama came into Office I think a little 270 point drop isn't going to effect anything.
20	1	a	"The problem with this is that usually when someone exercises ""their right"" it many times infringes on someones elses rights."
21	1	a	In typical fashion, and because because your man made science that teaches that the big bang signified the start of time, even though their was evidently no one around to record time back then, but you automatically assume that only after the so called big bang did time begin to exist.
22	1	a	What are you referring to here?
23	1	a	It's amazing that someone would list making medical decisions for a loved one who is unable to as a benefit.
24	1	a	Besides, until you can show where Christians are walking into crowded marketplaces detonating body-attached explosives) .QUOTE]((Besides, until you can show where Christians are walking into crowded marketplaces detonating body-attached explosives,))I'd like to address this if I could, although the example I'm giving is not gay related, I'm am curious to see how you would respond to me asking about how Christians who are anti abortionist, will bomb clinics and murder the Doctors who perform the procedures? My point being it does relate to the OP original point? You can't pick and choose who it's OK to kill,, and gays and lesbians are a legitimate minority.
25	1	a	My bad,...I certainly wouldn't want to demean a guy/gal who kills babies for a living.
26	1	a	Exactly. I'd like to know that myself. Since when has God promoted discrimination?
27	1	a	In his early life, Smith had a reputation for drinking too much. Whether or not this affected his thinking is a question which should to be considered when asking questions about mormon theology.
